customer_id,zipcode,city,state_code,datetime_created,datetime_updated
1,14409,franca,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
2,09790,sao bernardo do campo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
3,01151,sao paulo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
4,08775,mogi das cruzes,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
5,13056,campinas,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
6,89254,jaragua do sul,SC,2017-10-18 00:00:00,2017-10-18 00:00:00
7,04534,sao paulo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
8,35182,timoteo,MG,2017-10-18 00:00:00,2017-10-18 00:00:00
9,81560,curitiba,PR,2017-10-18 00:00:00,2017-10-18 00:00:00
10,30575,belo horizonte,MG,2017-10-18 00:00:00,2017-10-18 00:00:00
11,39400,montes claros,MG,2017-10-18 00:00:00,2017-10-18 00:00:00
12,20231,rio de janeiro,RJ,2017-10-18 00:00:00,2017-10-18 00:00:00
13,18682,lencois paulista,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
14,05704,sao paulo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
15,95110,caxias do sul,RS,2017-10-18 00:00:00,2017-10-18 00:00:00
16,13412,piracicaba,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
17,22750,rio de janeiro,RJ,2017-10-18 00:00:00,2017-10-18 00:00:00
18,07124,guarulhos,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
19,05416,sao paulo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
20,68485,pacaja,PA,2017-10-18 00:00:00,2017-10-18 00:00:00
21,88034,florianopolis,SC,2017-10-18 00:00:00,2017-10-18 00:00:00
22,74914,aparecida de goiania,GO,2017-10-18 00:00:00,2017-10-18 00:00:00
23,05713,sao paulo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
24,82820,curitiba,PR,2017-10-18 00:00:00,2017-10-18 00:00:00
25,08225,sao paulo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
26,09121,santo andre,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
27,74310,goiania,GO,2017-10-18 00:00:00,2017-10-18 00:00:00
28,04571,sao paulo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
29,29311,cachoeiro de itapemirim,ES,2017-10-18 00:00:00,2017-10-18 00:00:00
30,05528,sao paulo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
31,12235,sao jose dos campos,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
32,18130,sao roque,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
33,42800,camacari,BA,2017-10-18 00:00:00,2017-10-18 00:00:00
34,27525,resende,RJ,2017-10-18 00:00:00,2017-10-18 00:00:00
35,81750,curitiba,PR,2017-10-18 00:00:00,2017-10-18 00:00:00
36,13175,sumare,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
37,07170,guarulhos,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
38,93415,novo hamburgo,RS,2017-10-18 00:00:00,2017-10-18 00:00:00
39,65075,sao luis,MA,2017-10-18 00:00:00,2017-10-18 00:00:00
40,88104,sao jose,SC,2017-10-18 00:00:00,2017-10-18 00:00:00
41,07176,guarulhos,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
42,35960,santa barbara,MG,2017-10-18 00:00:00,2017-10-18 00:00:00
43,05727,sao paulo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
44,07053,guarulhos,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
45,14026,ribeirao preto,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
46,30320,belo horizonte,MG,2017-10-18 00:00:00,2017-10-18 00:00:00
47,38300,ituiutaba,MG,2017-10-18 00:00:00,2017-10-18 00:00:00
48,18740,taquarituba,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
49,83085,sao jose dos pinhais,PR,2017-10-18 00:00:00,2017-10-18 00:00:00
50,89254,jaragua do sul,SC,2017-10-18 00:00:00,2017-10-18 00:00:00
51,05351,sao paulo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
52,39406,montes claros,MG,2017-10-18 00:00:00,2017-10-18 00:00:00
53,14860,barrinha,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
54,21310,rio de janeiro,RJ,2017-10-18 00:00:00,2017-10-18 00:00:00
55,23970,parati,RJ,2017-10-18 00:00:00,2017-10-18 00:00:00
56,79804,dourados,MS,2017-10-18 00:00:00,2017-10-18 00:00:00
57,05017,sao paulo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
58,75388,trindade,GO,2017-10-18 00:00:00,2017-10-18 00:00:00
59,85808,cascavel,PR,2017-10-18 00:00:00,2017-10-18 00:00:00
60,60140,fortaleza,CE,2017-10-18 00:00:00,2017-10-18 00:00:00
61,72270,brasilia,DF,2017-10-18 00:00:00,2017-10-18 00:00:00
62,02075,sao paulo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
63,96015,pelotas,RS,2017-10-18 00:00:00,2017-10-18 00:00:00
64,90010,porto alegre,RS,2017-10-18 00:00:00,2017-10-18 00:00:00
65,22440,rio de janeiro,RJ,2017-10-18 00:00:00,2017-10-18 00:00:00
66,13323,salto,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
67,30190,belo horizonte,MG,2017-10-18 00:00:00,2017-10-18 00:00:00
68,13212,jundiai,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
69,29307,cachoeiro de itapemirim,ES,2017-10-18 00:00:00,2017-10-18 00:00:00
70,12280,cacapava,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
71,60336,fortaleza,CE,2017-10-18 00:00:00,2017-10-18 00:00:00
72,11310,sao vicente,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
73,38408,uberlandia,MG,2017-10-18 00:00:00,2017-10-18 00:00:00
74,37720,botelhos,MG,2017-10-18 00:00:00,2017-10-18 00:00:00
75,24431,sao goncalo,RJ,2017-10-18 00:00:00,2017-10-18 00:00:00
76,05890,sao paulo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
77,03733,sao paulo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
78,83709,araucaria,PR,2017-10-18 00:00:00,2017-10-18 00:00:00
79,11347,sao vicente,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
80,26272,nova iguacu,RJ,2017-10-18 00:00:00,2017-10-18 00:00:00
81,05415,sao paulo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
82,59655,areia branca,RN,2017-10-18 00:00:00,2017-10-18 00:00:00
83,04548,sao paulo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
84,28010,campos dos goytacazes,RJ,2017-10-18 00:00:00,2017-10-18 00:00:00
85,13573,sao carlos,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
86,02175,sao paulo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
87,37500,itajuba,MG,2017-10-18 00:00:00,2017-10-18 00:00:00
88,90670,porto alegre,RS,2017-10-18 00:00:00,2017-10-18 00:00:00
89,09890,sao bernardo do campo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
90,13321,salto,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
91,44380,cruz das almas,BA,2017-10-18 00:00:00,2017-10-18 00:00:00
92,27700,vassouras,RJ,2017-10-18 00:00:00,2017-10-18 00:00:00
93,44033,feira de santana,BA,2017-10-18 00:00:00,2017-10-18 00:00:00
94,04537,sao paulo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
95,71540,brasilia,DF,2017-10-18 00:00:00,2017-10-18 00:00:00
96,13569,sao carlos,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
97,05565,sao paulo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
98,03636,sao paulo,SP,2017-10-18 00:00:00,2017-10-18 00:00:00
99,24120,niteroi,RJ,2017-10-18 00:00:00,2017-10-18 00:00:00
100,24120,niteroi,RJ,2017-10-18 00:00:00,2017-10-18 00:00:00
